Student_ID,Gender,Attendance_Percent,Assignment_Score,Exam_Marks,Overall_Score,Result
STU0155,Male,63,61,77,71,Pass
STU0156,Male,78,77,66,70,Pass
STU0157,Male,43,51,41,44,Pass
STU0158,Female,71,70,76,74,Pass
STU0159,Female,68,54,44,48,Pass
STU0160,Male,86,70,81,77,Pass
STU0161,Male,100,82,87,85,Pass
STU0162,Female,78,78,73,75,Pass
STU0163,Male,62,54,82,72,Pass
STU0164,Male,61,65,56,59,Pass
STU0165,Female,62,56,89,77,Pass
STU0166,Female,88,72,75,74,Pass
STU0167,Male,56,66,45,52,Pass
STU0168,Male,46,26,48,40,Pass
STU0169,Female,57,41,42,42,Pass
STU0170,Female,36,27,33,31,Fail
STU0171,Male,42,20,49,39,Fail
STU0172,Female,40,39,55,49,Pass
STU0173,Male,85,81,70,74,Pass
STU0174,Male,82,67,86,79,Pass
STU0175,Male,80,71,89,83,Pass
STU0176,Female,65,74,86,82,Pass
STU0177,Female,82,86,85,85,Pass
STU0178,Female,45,49,70,63,Pass
STU0179,Male,94,93,61,72,Pass
STU0180,Female,68,64,62,63,Pass
STU0181,Female,96,68,69,69,Pass
STU0182,Female,45,43,53,50,Pass
STU0183,Female,67,44,54,50,Pass
STU0184,Female,80,58,68,64,Pass
STU0185,Male,67,58,89,78,Pass
STU0186,Male,64,70,64,66,Pass
STU0187,Female,45,70,63,65,Pass
STU0188,Female,60,41,54,49,Pass
STU0189,Female,50,57,58,58,Pass
STU0190,Male,54,42,55,50,Pass
STU0191,Female,80,75,81,79,Pass
STU0192,Male,76,65,86,79,Pass
STU0193,Female,75,44,86,71,Pass
STU0194,Female,58,68,67,67,Pass
STU0195,Male,98,72,90,84,Pass
STU0196,Male,40,41,33,36,Fail
STU0197,Male,57,44,56,52,Pass
STU0198,Male,42,40,61,54,Pass
STU0199,Male,57,61,72,68,Pass
STU0200,Male,98,77,86,83,Pass
STU0201,Female,59,61,73,69,Pass
STU0202,Female,94,81,89,86,Pass
STU0203,Female,67,78,85,83,Pass
STU0204,Female,81,65,76,72,Pass
STU0205,Female,65,43,55,51,Pass
STU0206,Female,52,66,64,65,Pass
STU0207,Female,85,68,37,48,Pass
STU0208,Male,98,92,92,92,Pass
STU0209,Female,52,58,10,27,Fail
STU0210,Male,86,71,54,60,Pass
STU0211,Female,52,58,64,62,Pass
STU0212,Male,82,94,87,89,Pass
STU0213,Male,87,98,69,79,Pass
STU0214,Female,64,61,55,57,Pass
STU0215,Female,83,73,93,86,Pass
STU0216,Male,52,67,54,59,Pass
STU0217,Male,40,37,76,62,Pass
STU0218,Female,41,52,51,51,Pass
STU0219,Male,64,60,69,66,Pass
STU0220,Male,94,80,100,93,Pass
STU0221,Female,43,39,51,47,Pass
STU0222,Female,65,42,47,45,Pass
STU0223,Female,81,45,66,59,Pass
STU0224,Male,48,38,51,46,Pass
STU0225,Male,82,65,55,58,Pass
STU0226,Male,55,52,54,53,Pass
STU0227,Male,88,97,74,82,Pass
STU0228,Female,73,78,84,82,Pass
STU0229,Female,71,53,66,61,Pass
STU0230,Female,46,54,51,52,Pass
STU0231,Female,65,56,62,60,Pass
STU0232,Male,91,72,82,78,Pass
STU0233,Male,36,47,56,53,Pass
STU0234,Female,85,79,65,70,Pass
STU0235,Male,67,58,51,53,Pass
STU0236,Male,82,83,92,89,Pass
STU0237,Female,78,54,63,60,Pass
STU0238,Male,63,60,45,50,Pass
STU0239,Male,55,86,72,77,Pass
STU0240,Male,76,69,77,74,Pass
STU0241,Male,44,66,36,46,Pass
STU0242,Female,73,66,72,70,Pass
STU0243,Male,41,55,62,60,Pass
STU0244,Female,77,67,76,73,Pass
STU0245,Male,76,65,79,74,Pass
STU0246,Female,40,38,29,32,Fail
STU0247,Female,84,76,81,79,Pass
STU0248,Male,62,49,56,54,Pass
STU0249,Female,86,80,72,75,Pass
STU0250,Female,37,58,62,61,Pass
STU0251,Male,46,55,74,67,Pass
STU0252,Female,67,58,88,78,Pass
STU0253,Male,47,56,72,66,Pass
STU0254,Female,56,52,57,55,Pass
STU0255,Female,78,79,79,79,Pass
STU0256,Male,44,27,57,46,Pass
STU0257,Female,79,64,73,70,Pass
STU0258,Female,41,24,46,38,Fail
STU0259,Male,46,32,59,50,Pass
STU0260,Male,73,82,73,76,Pass
STU0261,Female,87,84,71,76,Pass
STU0262,Male,46,42,46,45,Pass
STU0263,Male,54,37,62,53,Pass
STU0264,Male,96,42,74,63,Pass
STU0265,Female,100,73,88,83,Pass
STU0266,Male,73,94,85,88,Pass
STU0267,Male,64,65,60,62,Pass
STU0268,Male,57,50,68,62,Pass
STU0269,Female,75,72,77,75,Pass
STU0270,Male,74,47,49,48,Pass
STU0271,Male,54,51,76,67,Pass
STU0272,Female,36,46,41,43,Pass
STU0273,Male,44,48,30,36,Fail
STU0274,Male,98,88,73,78,Pass
STU0275,Female,62,63,50,55,Pass
STU0276,Male,66,69,68,68,Pass
STU0277,Female,65,52,59,57,Pass
STU0278,Male,86,83,75,78,Pass
STU0279,Male,39,66,62,63,Pass
STU0280,Male,40,35,51,45,Pass
STU0281,Female,53,43,59,53,Pass
STU0282,Male,67,78,75,76,Pass
STU0283,Female,79,66,80,75,Pass
STU0284,Male,67,79,42,55,Pass
STU0285,Male,64,55,58,57,Pass
STU0286,Female,96,95,59,72,Pass
STU0287,Female,45,51,53,52,Pass
STU0288,Female,72,68,69,69,Pass
STU0289,Male,70,82,86,85,Pass
STU0290,Female,66,57,79,71,Pass
STU0291,Female,88,62,78,72,Pass
STU0292,Female,52,48,49,49,Pass
STU0293,Female,97,84,91,89,Pass
STU0294,Female,56,37,48,44,Pass
STU0295,Female,70,71,69,70,Pass
STU0296,Female,69,56,78,70,Pass
STU0297,Male,91,89,76,81,Pass
STU0298,Female,63,31,67,54,Pass
STU0299,Male,53,45,64,57,Pass
STU0300,Male,36,25,30,28,Fail
STU0301,Male,59,48,71,63,Pass
STU0302,Female,89,77,88,84,Pass
STU0303,Female,35,42,48,46,Pass
STU0304,Male,94,74,71,72,Pass
STU0305,Male,70,62,56,58,Pass
STU0306,Male,44,52,46,48,Pass
STU0307,Female,54,43,62,55,Pass
STU0308,Female,71,73,58,63,Pass
STU0309,Female,55,63,66,65,Pass
STU0310,Female,42,53,36,42,Pass
STU0311,Male,78,75,71,72,Pass
STU0312,Female,79,72,75,74,Pass
STU0313,Female,42,73,89,83,Pass
STU0314,Male,53,53,39,44,Pass
STU0315,Male,51,49,74,65,Pass
STU0316,Female,78,59,72,67,Pass
STU0317,Female,83,58,77,70,Pass
STU0318,Male,82,55,72,66,Pass
STU0319,Male,96,67,86,79,Pass
STU0320,Male,85,71,74,73,Pass
STU0321,Male,56,60,79,72,Pass
STU0322,Male,42,49,45,46,Pass
STU0323,Female,75,57,83,74,Pass
STU0324,Female,95,88,76,80,Pass
STU0325,Male,99,88,86,87,Pass
STU0326,Female,50,51,41,44,Pass
STU0327,Female,50,45,60,55,Pass
STU0328,Female,37,52,68,62,Pass
STU0329,Male,44,51,52,52,Pass
STU0330,Female,71,47,61,56,Pass
STU0331,Female,71,63,53,56,Pass
STU0332,Female,59,61,59,60,Pass
STU0333,Female,55,44,35,38,Fail
STU0334,Male,89,76,67,70,Pass
STU0335,Female,65,43,63,56,Pass
STU0336,Male,88,89,99,96,Pass
STU0337,Female,98,94,100,98,Pass
STU0338,Male,55,52,50,51,Pass
STU0339,Male,48,56,74,68,Pass
STU0340,Male,97,49,79,68,Pass
STU0341,Male,76,53,65,61,Pass
STU0342,Female,54,51,63,59,Pass
STU0343,Male,76,54,69,64,Pass
STU0344,Male,68,71,70,70,Pass
STU0345,Male,94,100,82,88,Pass
STU0346,Male,51,39,35,36,Fail
STU0347,Male,100,70,62,65,Pass
STU0348,Male,96,81,92,88,Pass
STU0349,Male,46,70,55,60,Pass
STU0350,Male,45,35,41,39,Fail
STU0351,Female,70,66,68,67,Pass
STU0352,Female,37,67,64,65,Pass
STU0353,Female,54,35,55,48,Pass
STU0354,Female,63,44,51,49,Pass
STU0355,Female,98,74,99,90,Pass
STU0356,Female,100,74,100,91,Pass
STU0357,Female,45,60,62,61,Pass
STU0358,Female,93,79,94,89,Pass
STU0359,Male,41,26,61,49,Pass
STU0360,Male,84,77,92,87,Pass
STU0361,Male,90,68,85,79,Pass
STU0362,Female,93,91,92,92,Pass
STU0363,Female,49,44,60,54,Pass
STU0364,Male,93,69,65,66,Pass
STU0365,Female,42,55,62,60,Pass
STU0366,Male,69,72,51,58,Pass
STU0367,Female,65,66,55,59,Pass
STU0368,Female,55,35,70,58,Pass
STU0369,Male,36,51,60,57,Pass
STU0370,Female,85,59,92,80,Pass
STU0371,Female,57,59,57,58,Pass
STU0372,Male,78,51,53,52,Pass
STU0373,Female,62,64,61,62,Pass
STU0374,Male,59,48,60,56,Pass
STU0375,Female,93,61,78,72,Pass
STU0376,Female,41,56,67,63,Pass
STU0377,Male,83,74,71,72,Pass
STU0378,Female,84,64,78,73,Pass
STU0379,Male,60,75,53,61,Pass
STU0380,Male,52,48,61,56,Pass
STU0381,Male,35,45,47,46,Pass
STU0382,Female,96,81,74,76,Pass
STU0383,Male,97,71,78,76,Pass
STU0384,Male,50,58,55,56,Pass
STU0385,Male,37,39,43,42,Pass
STU0386,Female,43,44,73,63,Pass
STU0387,Male,39,63,52,56,Pass
STU0388,Female,89,61,72,68,Pass
STU0389,Male,93,47,46,46,Pass
STU0390,Female,45,69,46,54,Pass
STU0391,Male,84,100,79,86,Pass
STU0392,Male,46,45,43,44,Pass
STU0393,Female,59,34,73,59,Pass
STU0394,Male,74,62,67,65,Pass
STU0395,Male,82,67,90,82,Pass
STU0396,Female,92,73,80,78,Pass
STU0397,Female,37,32,45,40,Pass
STU0398,Male,47,58,54,55,Pass
STU0399,Female,53,60,59,59,Pass
STU0400,Female,55,37,76,62,Pass
STU0401,Male,100,88,57,68,Pass
STU0402,Female,86,97,57,71,Pass
STU0403,Male,56,58,53,55,Pass
STU0404,Female,99,75,83,80,Pass
STU0405,Male,67,60,74,69,Pass
STU0406,Female,68,70,74,73,Pass
STU0407,Male,63,39,53,48,Pass
STU0408,Male,44,51,66,61,Pass
STU0409,Female,96,73,95,87,Pass
STU0410,Female,35,66,55,59,Pass
STU0411,Male,46,48,65,59,Pass
STU0412,Male,50,73,64,67,Pass
STU0413,Male,53,41,47,45,Pass
STU0414,Female,43,56,62,60,Pass
STU0415,Male,36,49,50,50,Pass
STU0416,Male,79,58,70,66,Pass
STU0417,Female,98,81,100,93,Pass
STU0418,Female,43,63,23,37,Fail
STU0419,Female,54,51,39,43,Pass
STU0420,Male,68,42,46,45,Pass
STU0421,Female,96,78,78,78,Pass
STU0422,Female,80,58,67,64,Pass
STU0423,Male,85,68,56,60,Pass
STU0424,Female,73,64,56,59,Pass
STU0425,Male,62,39,46,44,Pass
STU0426,Male,48,32,82,64,Pass
STU0427,Male,92,81,100,93,Pass
STU0428,Male,88,67,71,70,Pass
STU0429,Male,36,14,35,28,Fail
STU0430,Male,82,80,62,68,Pass
STU0431,Male,40,50,26,34,Fail
STU0432,Female,83,62,71,68,Pass
STU0433,Female,89,58,62,61,Pass
STU0434,Male,43,59,53,55,Pass
STU0435,Female,63,64,44,51,Pass
STU0436,Male,43,77,49,59,Pass
STU0437,Male,72,70,72,71,Pass
STU0438,Male,96,82,88,86,Pass
STU0439,Female,40,45,55,52,Pass
STU0440,Female,61,68,47,54,Pass
STU0441,Female,99,87,97,94,Pass
STU0442,Male,54,70,51,58,Pass
STU0443,Male,43,42,58,52,Pass
STU0444,Male,67,57,64,62,Pass
STU0445,Male,68,57,47,50,Pass
STU0446,Male,78,77,70,72,Pass
STU0447,Male,55,73,68,70,Pass
STU0448,Female,98,73,90,84,Pass
STU0449,Male,69,58,64,62,Pass
STU0450,Female,53,58,78,71,Pass
STU0451,Male,98,76,96,89,Pass
STU0452,Male,96,89,82,84,Pass
STU0453,Female,67,35,69,57,Pass
STU0454,Male,36,35,70,58,Pass
STU0455,Female,74,56,93,80,Pass
STU0456,Male,71,36,45,42,Pass
STU0457,Female,44,38,37,37,Fail
STU0458,Female,76,56,88,77,Pass
STU0459,Male,90,72,65,67,Pass
STU0460,Female,41,61,37,45,Pass
STU0461,Male,82,67,67,67,Pass
STU0462,Male,44,37,55,49,Pass
STU0463,Female,84,71,74,73,Pass
STU0464,Female,62,72,57,62,Pass
STU0465,Female,35,33,35,34,Fail
STU0466,Female,98,68,72,71,Pass
STU0467,Female,45,56,43,48,Pass
STU0468,Male,74,63,99,86,Pass
STU0469,Female,46,58,59,59,Pass
STU0470,Male,96,78,94,88,Pass
STU0471,Female,83,79,71,74,Pass
STU0472,Male,88,61,72,68,Pass
STU0473,Male,63,60,54,56,Pass
STU0474,Female,65,58,29,39,Fail
STU0475,Male,76,52,49,50,Pass
STU0476,Female,86,54,49,51,Pass
STU0477,Female,90,83,52,63,Pass
STU0478,Male,36,41,31,34,Fail
STU0479,Male,78,56,86,76,Pass
STU0480,Female,42,47,50,49,Pass
STU0481,Female,54,68,78,74,Pass
STU0482,Female,89,47,77,66,Pass
STU0483,Female,51,35,62,53,Pass
STU0484,Female,87,62,63,63,Pass
STU0485,Female,65,78,76,77,Pass
STU0486,Male,50,56,66,62,Pass
STU0487,Female,57,66,55,59,Pass
STU0488,Male,70,50,71,64,Pass
STU0489,Male,85,58,80,72,Pass
STU0490,Male,74,71,64,66,Pass
STU0491,Female,96,78,68,72,Pass
STU0492,Male,92,82,67,72,Pass
STU0493,Male,84,69,76,74,Pass
STU0494,Female,74,69,75,73,Pass
STU0495,Male,54,57,48,51,Pass
STU0496,Female,62,68,65,66,Pass
STU0497,Male,42,58,61,60,Pass
STU0498,Female,59,38,64,55,Pass
STU0499,Male,96,51,96,80,Pass
STU0500,Female,63,72,83,79,Pass
